2017-02-10 12:14:07,743 [Worker-474] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.fannie:MavenWorks1:0.0.1-SNAPSHOT @ C:\SDET3\MavenWorks1\pom.xml.
2017-02-10 12:14:08,649 [Worker-473] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 12:14:08,653 [Worker-473] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\SDET3\MavenWorks1\src\main\resources
2017-02-10 12:14:08,656 [Worker-473] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 12:14:08,659 [Worker-473] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\SDET3\MavenWorks1\src\test\resources
2017-02-10 12:14:08,679 [Worker-474] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MavenWorks1/src
2017-02-10 12:14:08,679 [Worker-474] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /MavenWorks1/src/test/java because it overlaps with /MavenWorks1/src
2017-02-10 12:14:08,767 [Worker-474] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-02-10 12:14:09,320 [Worker-474] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.fannie:MavenWorks1:0.0.1-SNAPSHOT @ C:\SDET3\MavenWorks1\pom.xml.
2017-02-10 12:14:09,635 [Worker-474] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MavenWorks1/src
2017-02-10 12:14:09,635 [Worker-474] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /MavenWorks1/src/test/java because it overlaps with /MavenWorks1/src
2017-02-10 12:14:09,715 [Worker-474] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-02-10 12:14:09,888 [Worker-467] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 12:14:09,890 [Worker-467] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\SDET3\MavenWorks1\src\main\resources
2017-02-10 12:14:09,892 [Worker-467] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 12:14:09,895 [Worker-467] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\SDET3\MavenWorks1\src\test\resources
2017-02-10 12:42:03,732 [Worker-478] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.fannie:MavenWorks1:0.0.1-SNAPSHOT @ C:\SDET3\MavenWorks1\pom.xml.
2017-02-10 12:42:04,502 [Worker-478] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/5.1.6/mysql-connector-java-5.1.6.pom
2017-02-10 12:42:04,631 [Worker-478] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/5.1.6/mysql-connector-java-5.1.6.pom
2017-02-10 12:42:04,743 [Worker-478] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/5.1.6/mysql-connector-java-5.1.6.jar
2017-02-10 12:42:07,847 [Worker-478] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/5.1.6/mysql-connector-java-5.1.6.jar
